mode;first_move;depth;first_time;second_time;first_moves;second_moves;heuristic;first_points;second_points;winner;winner_time_per_move;winner_moves
alfabeta;5;4;3,50;10,95;9;12;Steal;13;35;1;0,912408333;12
alfabeta;6;4;14,67;6,53;15;10;Steal;34;14;0;0,978046667;15
alfabeta;1;4;14,68;35,78;10;21;Most Points;15;33;1;1,70377619;21
alfabeta;2;4;9,28;25,33;9;17;Most Points;22;26;1;1,489970588;17
alfabeta;3;4;32,01;31,45;18;12;Most Points;29;19;0;1,778194444;18
alfabeta;4;4;42,04;70,11;13;13;Most Points;18;30;1;5,393046154;13
alfabeta;5;4;30,06;55,70;15;19;Most Points;15;33;1;2,9317;19
alfabeta;6;4;75,95;52,07;16;19;Most Points;27;21;0;4,746575;16
alfabeta;1;4;91,41;100,07;23;28;Points Diff;23;25;1;3,573996429;28
alfabeta;2;4;55,63;94,79;16;24;Points Diff;17;31;1;3,949629167;24
alfabeta;3;4;183,98;81,99;32;20;Points Diff;32;16;0;5,74930625;32
alfabeta;4;4;128,03;154,19;19;19;Points Diff;16;32;1;8,115052632;19
alfabeta;5;4;98,86;123,33;17;20;Points Diff;26;22;0;5,815405882;17
alfabeta;6;4;175,55;86,47;26;13;Points Diff;34;14;0;6,751992308;26
alfabeta;1;4;83,28;83,36;29;27;Far From Mancala;32;16;0;2,8718;29
alfabeta;2;4;92,67;80,47;30;31;Far From Mancala;15;33;1;0;31
alfabeta;3;4;78,61;98,63;32;33;Far From Mancala;30;18;0;2,456584375;32
alfabeta;4;4;136,30;73,97;29;26;Far From Mancala;26;22;0;4,700089655;29
alfabeta;5;4;63,31;117,69;31;28;Far From Mancala;27;21;0;2,042316129;31
alfabeta;6;4;59,87;86,54;32;27;Far From Mancala;28;20;0;1,871;32
